frequency,voltage,block_id
3.0,0.8,0
3.0,0.8,37
3.0,0.8,38
3.0,0.8,39
3.0,0.8,40
3.0,0.8,41
3.0,0.8,42
3.0,0.8,1
3.0,0.8,43
3.0,0.8,4
3.0,0.8,17
3.0,0.8,2
3.0,0.8,44
3.0,0.8,5
3.0,0.8,6
3.0,0.8,7
3.0,0.8,18
3.0,0.8,19
3.0,0.8,20
3.0,0.8,21
3.0,0.8,22
3.0,0.8,23
3.0,0.8,24
3.0,0.8,25
3.0,0.8,26
3.0,0.8,27
3.0,0.8,28
3.0,0.8,3
3.0,0.8,30
3.0,0.8,45
3.0,0.8,8
3.0,0.8,29
3.0,0.8,32
3.0,0.8,33
3.0,0.8,34
3.0,0.8,35
3.0,0.8,31
3.0,0.8,47
3.0,0.8,46
3.0,0.8,9
3.0,0.8,10
3.0,0.8,11
3.0,0.8,36
3.0,0.8,12
3.0,0.8,13
3.0,0.8,14
3.0,0.8,15
3.0,0.8,16
