block_id,required_voltage_value,obtained_frequency,voltage_level
0,0.65,3.0366143,0.65
22,0.65,3.0366143,0.65
23,0.65,3.0366143,0.65
24,0.65,3.0366935999999995,0.65
27,0.65,3.0366935999999995,0.65
1,0.65,3.0366935999999995,0.65
2,0.65,3.0558049,0.65
3,0.65,3.0558049,0.65
28,0.65,3.0366935999999995,0.65
4,0.65,3.0558049,0.65
29,0.65,3.0368522,0.65
5,0.65,3.0558049,0.65
30,0.65,3.037010799999999,0.65
6,0.65,3.0558049,0.65
32,0.65,3.0370901000000003,0.65
31,0.65,3.0370901000000003,0.65
7,0.65,3.0558049,0.65
